FUNCTION                                    CALLS      %   TIME  [uS / CALLS]
--------                                    -----    ---   ----  [----------]
shell:has_binary/1                              4   0.00      3  [      0.75]
shell:has_bin/1                                 4   0.00      3  [      0.75]
shell:is_expand_variable/1                     10   0.00      3  [      0.30]
shell:result_will_be_saved/0                    2   0.00      3  [      1.50]
shell:apply_fun/3                               2   0.00      3  [      1.50]
shell:columns/0                                 2   0.00      3  [      1.50]
proplists:get_bool/2                            6   0.00      3  [      0.50]
erl_parse:parse_exprs/1                         2   0.00      3  [      1.50]
erl_parse:mapl/2                                4   0.00      3  [      0.75]
erl_parse:parse/1                               2   0.00      3  [      1.50]
erl_parse:yeccpars1/5                           2   0.00      3  [      1.50]
erl_parse:yecctoken_end_location/1              2   0.00      3  [      1.50]
erl_parse:yeccpars2_31/7                        3   0.00      3  [      1.00]
erl_parse:yeccpars2_44/7                        3   0.00      3  [      1.00]
erl_parse:yeccgoto_atomic/7                     4   0.00      3  [      0.75]
erl_parse:yeccgoto_expr_100/7                   3   0.00      3  [      1.00]
erl_parse:yeccgoto_expr_160/7                   3   0.00      3  [      1.00]
erl_parse:yeccgoto_expr_600/7                   3   0.00      3  [      1.00]
erl_parse:yeccgoto_expr_800/7                   3   0.00      3  [      1.00]
erl_parse:yeccgoto_exprs/7                      3   0.00      3  [      1.00]
erlang:list_to_tuple/1                         11   0.00      3  [      0.27]
erlang:erase/1                                  4   0.00      3  [      0.75]
edlin:edit_line/2                               2   0.00      4  [      2.00]
edlin:over_paren/3                              2   0.00      4  [      2.00]
io_lib:format_prompt/2                          2   0.00      4  [      2.00]
io_lib:write/2                                  4   0.00      4  [      1.00]
io_lib:quote_atom/2                             2   0.00      4  [      2.00]
gb_sets:empty/0                                 6   0.00      4  [      0.67]
gb_sets:from_ordset/1                           4   0.00      4  [      1.00]
group:get_chars_loop/8                          2   0.00      4  [      2.00]
group:get_line/4                                2   0.00      4  [      2.00]
erl_scan:opts/3                                 4   0.00      4  [      1.00]
erl_scan:set_attr/3                             9   0.00      4  [      0.44]
erl_scan:'-default_option/1-fun-0-'/1           4   0.00      4  [      1.00]
erl_scan:'-tokens/4-fun-0-'/6                   2   0.00      4  [      2.00]
lists:flatten/1                                 4   0.00      4  [      1.00]
lists:umergel/3                                 6   0.00      4  [      0.67]
lists:umerge2_1/5                               8   0.00      4  [      0.50]
io_lib_pretty:print/2                           2   0.00      4  [      2.00]
dict:get_slot/2                                 2   0.00      4  [      2.00]
dict:mk_seg/1                                  12   0.00      4  [      0.33]
io_lib_format:collect_cseq/2                    6   0.00      4  [      0.67]
io_lib_format:strings/2                         6   0.00      4  [      0.67]
io_lib_format:field_width/3                     6   0.00      4  [      0.67]
io_lib_format:precision/2                       6   0.00      4  [      0.67]
io_lib_format:cdata_to_chars/1                 12   0.00      4  [      0.33]
erl_lint:pack_warnings/1                        4   0.00      4  [      1.00]
erl_lint:'-start/2-lc$^1/1-1-'/1                8   0.00      4  [      0.50]
gen_server:rec_nodes/4                         10   0.00      4  [      0.40]
global:handle_del_lock/3                        4   0.00      4  [      1.00]
erlang:integer_to_list/2                        2   0.00      4  [      2.00]
shell:get_command/5                             2   0.00      4  [      2.00]
shell:shell_rep/4                               2   0.00      4  [      2.00]
shell:eval_exprs/7                              2   0.00      4  [      2.00]
shell:record_print_fun/1                        2   0.00      4  [      2.00]
shell:check_command/2                           2   0.00      4  [      2.00]
shell:get_history_and_results/0                 4   0.00      4  [      1.00]
shell:pp/4                                      2   0.00      4  [      2.00]
shell:enc/0                                     2   0.00      4  [      2.00]
shell:'-eval_loop/3-fun-0-'/3                   2   0.00      4  [      2.00]
erl_parse:build_function/1                      2   0.00      4  [      2.00]
erl_parse:yeccpars2_11/7                        2   0.00      4  [      2.00]
erl_parse:yeccgoto_argument_list/7              4   0.00      4  [      1.00]
erl_parse:yeccgoto_expr_max/7                   5   0.00      4  [      0.80]
erlang:setelement/3                             8   0.00      4  [      0.50]
erlang:is_alive/0                               2   0.00      4  [      2.00]
io:bc_req/3                                     4   0.00      5  [      1.25]
io_lib:format/2                                 6   0.00      5  [      0.83]
io_lib:name_char/1                              9   0.00      5  [      0.56]
io_lib:get_until/4                              4   0.00      5  [      1.25]
orddict:merge/3                                12   0.00      5  [      0.42]
ordsets:from_list/1                             6   0.00      5  [      0.83]
erl_scan:reserved_word/1                        6   0.00      5  [      0.83]
tuple_space:out/1                               2   0.00      5  [      2.50]
tuple_space:query_one/5                         5   0.00      5  [      1.00]
tuple_space:'-selector/6-fun-0-'/2              5   0.00      5  [      1.00]
lists:usplit_2/5                                8   0.00      5  [      0.63]
io_lib_format:pad_char/2                        6   0.00      5  [      0.83]
io_lib_format:pcount/1                          6   0.00      5  [      0.83]
io_lib_format:pcount/2                         16   0.00      5  [      0.31]
io_lib_format:decr_pc/2                         6   0.00      5  [      0.83]
io_lib_format:term/5                            4   0.00      5  [      1.25]
erl_lint:zip_file_and_line/2                    2   0.00      5  [      2.50]
erl_lint:'-zip_file_and_line/2-fun-0-'/2        9   0.00      5  [      0.56]
global:insert_lock/4                            5   0.00      5  [      1.00]
global:trace_message/3                          9   0.00      5  [      0.56]
user_drv:get_tty_geometry/1                     2   0.00      5  [      2.50]
shell:check_env/1                               4   0.00      5  [      1.25]
shell:'-exprs/7-lc$^0/1-0-'/1                  12   0.00      5  [      0.42]
erlang:integer_to_list/1                        2   0.00      5  [      2.50]
io:request/2                                    6   0.00      6  [      1.00]
tuple_space_server:handle_cast/2                2   0.00      6  [      3.00]
gb_sets:balance_list_1/2                       12   0.00      6  [      0.50]
erl_scan:options/1                              2   0.00      6  [      3.00]
erl_eval:bindings/1                             4   0.00      6  [      1.50]
erl_eval:'-merge_bindings/2-fun-0-'/2          15   0.00      6  [      0.40]
tuple_space:unlock/1                            4   0.00      6  [      1.50]
lists:reverse/1                                11   0.00      6  [      0.55]
dict:new/0                                     12   0.00      6  [      0.50]
io_lib_format:encoding/2                        6   0.00      6  [      1.00]
io_lib_format:field_width/2                     6   0.00      6  [      1.00]
io_lib_format:collect_cc/2                      6   0.00      6  [      1.00]
io_lib_format:unprefixed_integer/6              2   0.00      6  [      3.00]
erl_lint:expr/3                                 3   0.00      6  [      2.00]
gen_server:do_send/2                            2   0.00      6  [      3.00]
global:set_lock/3                               6   0.00      6  [      1.00]
global:set_lock_on_nodes/2                      6   0.00      6  [      1.00]
global:check_replies/3                         10   0.00      6  [      0.60]
shell:expand_expr/2                             9   0.00      6  [      0.67]
shell:add_cmd/3                                 2   0.00      6  [      3.00]
shell:shell_cmd/6                               2   0.00      6  [      3.00]
shell:get_env/2                                 8   0.00      6  [      0.75]
application_controller:get_env/2               16   0.00      6  [      0.38]
erlang:list_to_binary/1                         2   0.00      6  [      3.00]
erlang:phash/2                                  2   0.00      6  [      3.00]
tuple_space_server:handle_info/2                5   0.00      7  [      1.40]
orddict:from_list/1                             4   0.00      7  [      1.75]
